044983;10090000;;Volksbank Potsdam Zndl d Berliner Volksbank;14467;Potsdam;Volksbank Potsdam;91001;;
021629;10090300;GENODEF1BSB;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;13353;Berlin;Bk f Schiffahrt BFS Berlin;;;
030360;10090603;DAAEDED1003;apoBank;10593;Berlin;apoBank Berlin;91006;;
046110;10090603;DAAEDED1042;apoBank;19061;Schwerin;apoBank Schwerin;91006;;
046126;10090603;DAAEDED1043;apoBank;01099;Dresden;apoBank Dresden;91006;;
046410;10090603;DAAEDED1041;apoBank;04129;Leipzig;apoBank Leipzig;91006;;
046553;10090603;DAAEDED1049;apoBank;09111;Chemnitz;apoBank Chemnitz;91006;;
046554;10090603;DAAEDED1045;apoBank;99084;Erfurt;apoBank Erfurt;91006;;
046555;10090603;DAAEDED1046;apoBank;39104;Magdeburg;apoBank Magdeburg;91006;;
046556;10090603;DAAEDED1048;apoBank;14467;Potsdam;apoBank Potsdam;91006;;
046557;10090603;;apoBank;18057;Rostock;apoBank Rostock;91006;;
024464;10090900;GENODEF1P01;PSD Bank Berlin-Brandenburg;12154;Berlin;PSD Bank Berlin;91008;;
057333;10090900;;PSD Bank Berlin-Brandenburg (Gf P2);12154;Berlin;PSD Bank Berlin;81008;;
000536;10110300;MACODEB1XXX;Westend Bank;60599;Frankfurt am Main;Westend Bank;26240;;
000537;10110400;IBBBDEBBXXX;Investitionsbank Berlin;10702;Berlin;Investitionsbank Berlin;;;
049702;10110600;QUBKDEBBXXX;Quirin Privatbank;10711;Berlin;Quirin Privatbank Berlin;25207;;
013621;10120100;WELADED1WBB;Weberbank;10893;Berlin;Weberbank;51012;;
044118;10120800;VONEDE33BLN;BNP Paribas Ndl. Deutschland former VON ESSEN Bank;80336;München;BNP Paribas Ndl. Dt.;26037;;
043850;10130600;ISBKDEFXXXX;Isbank Fil Berlin;13353;Berlin;Isbank Berlin;29835;;
050620;10130800;BIWBDE33XXX;flatex Bank;60327;Frankfurt am Main;flatex Bank, Frankfurt;25185;;
056412;10220500;BOFSDEB1XXX;Lloyds Bank;10178;Berlin;Lloyds Bank;;;
056217;10220600;SYBKDE22BER;Sydbank Filiale Berlin;14193;Berlin;Sydbank Berlin;;;
055068;10310600;TRDADEB1PBK;Tradegate Wertpapierhandelsbank Berlin;10711;Berlin;Tradegate Berlin;25257;;
056731;11010100;SOBKDEBBXXX;solarisBank;10178;Berlin;solarisBank;;;
057373;11010101;SOBKDEB2XXX;solarisBank Gf (S);10178;Berlin;solarisBank Gf (S);;;
045444;12016836;KFWIDEFF100;KfW Kreditanstalt für Wiederaufbau;10117;Berlin;KfW Berlin;;;
046023;12030000;BYLADEM1001;Deutsche Kreditbank Berlin;10117;Berlin;Deutsche Kreditbank Berlin;51011;;
049243;12030000;;Deutsche Kreditbank;09111;Chemnitz;Deutsche Kreditbk Chemnitz;51011;;
049244;12030000;;Deutsche Kreditbank;04109;Leipzig;Deutsche Kreditbank Leipzig;51011;;
049245;12030000;;Deutsche Kreditbank;01069;Dresden;Deutsche Kreditbank Dresden;51011;;
049246;12030000;;Deutsche Kreditbank;98527;Suhl;Deutsche Kreditbank Suhl;51011;;
049247;12030000;;Deutsche Kreditbank;07545;Gera;Deutsche Kreditbank Gera;51011;;
049248;12030000;;Deutsche Kreditbank;99084;Erfurt;Deutsche Kreditbank Erfurt;51011;;
049249;12030000;;Deutsche Kreditbank;06122;Halle (Saale);Deutsche Kreditbank Halle;51011;;
049250;12030000;;Deutsche Kreditbank;39104;Magdeburg;Deutsche Kreditbk Magdeburg;51011;;
049251;12030000;;Deutsche Kreditbank;03046;Cottbus;Deutsche Kreditbank Cottbus;51011;;
049252;12030000;;Deutsche Kreditbank;15230;Frankfurt (Oder);Deutsche Kreditbank Ff/Oder;51011;;
049253;12030000;;Deutsche Kreditbank;14471;Potsdam;Deutsche Kreditbank Potsdam;51011;;
049254;12030000;;Deutsche Kreditbank;17034;Neubrandenburg;Deutsche Kreditbk Neubrandb;51011;;
049255;12030000;;Deutsche Kreditbank;19053;Schwerin;Deutsche Kreditbk Schwerin;51011;;
049256;12030000;;Deutsche Kreditbank;18057;Rostock;Deutsche Kreditbank Rostock;51011;;
055781;12030000;;Deutsche Kreditbank (Gf P2);10117;Berlin;Deutsche Kreditbank (Gf P2);51100;;
047484;12030900;MEFIDEMM100;Merck Finck Privatbankiers;10719;Berlin;Merck Finck Privatbankiers;26249;;
044795;12040000;COBADEBB120;Commerzbank Filiale Berlin 2;10891;Berlin;Commerzbank Fil. Berlin 2;24120;;
